"EntitySet","EntityType","PropertyCount","Properties"
"AccumulationRegister_ЗапасыПереданные_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданные_RecordType","17","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, Контрагент_Key, Договор_Key, Заказ, ТипПриемаПередачи, Количество, СуммаРасчетов, Recorder_Type, Заказ_Type"
"AccumulationRegister_ЗапасыПереданныеВРазрезеГТД","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРазрезеГТД","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПереданныеВРазрезеГТД_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРазрезеГТД_RecordType","15","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, НомерГТД_Key, СтранаПроисхождения_Key, Количество, ДокументПередачи, Recorder_Type, ДокументПередачи_Type"
"AccumulationRegister_ЗапасыПереданныеВРемонте","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРемонте","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПереданныеВРемонте_RecordType","StandardODATA.AccumulationRegister_ЗапасыПереданныеВРемонте_RecordType","12","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, СервисныйЦентр_Key, Номенклатура_Key, Характеристика_Key, Серия_Key, Количество, Recorder_Type"
"AccumulationRegister_ЗапасыПринятыеВРазрезеГТД","StandardODATA.AccumulationRegister_ЗапасыПринятыеВРазрезеГТД","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ЗапасыПринятыеВРазрезеГТД_RecordType","StandardODATA.AccumulationRegister_ЗапасыПринятыеВРазрезеГТД_RecordType","15","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, НомерГТД_Key, СтранаПроисхождения_Key, Количество, ДокументПриема, Recorder_Type, ДокументПриема_Type"
"AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС","StandardODATA.AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС_RecordType","StandardODATA.AccumulationRegister_ОстаткиАлкогольнойПродукцииЕГАИС_RecordType","11","Recorder, Period, LineNumber, Active, RecordType, ОрганизацияЕГАИС_Key, АлкогольнаяПродукция_Key, Справка2_Key, Количество, СвободныйОстаток, Recorder_Type"
"AccumulationRegister_ПотребностьВЗапасах","StandardODATA.AccumulationRegister_ПотребностьВЗапасах","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_ПотребностьВЗапасах_RecordType","StandardODATA.AccumulationRegister_ПотребностьВЗапасах_RecordType","13","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, ТипДвижения, ЗаказПокупателя_Key, Номенклатура_Key, Характеристика_Key, ЗаказНаПроизводство_Key, Количество, Recorder_Type"
"AccumulationRegister_СерииНоменклатурыКПоступлению","StandardODATA.AccumulationRegister_СерииНоменклатурыКПоступлению","3","Recorder, RecordSet, Recorder_Type"
"AccumulationRegister_СерииНоменклатурыКПоступлению_RecordType","StandardODATA.AccumulationRegister_СерииНоменклатурыКПоступлению_RecordType","13","Recorder, Period, LineNumber, Active, RecordType, Организация_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, Серия_Key, СтруктурнаяЕдиница_Key, Количество, Recorder_Type"
"Catalog_АвтоматическиеСкидки","StandardODATA.Catalog_АвтоматическиеСкидки","39","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, IsFolder, DeletionMark, БонуснаяПрограмма_Key, ВалютаПредоставления_Key, ВариантОграниченияПоНоменклатуре, ВариантОкругления, ВариантСовместногоПрименения, ВидЦен_Key, ДатаНачала, ДатаОкончания, Действует, ЕстьГруппыВУточненииПоНоменклатуре, ЕстьОграниченияПоПолучателямКонтрагентам, ЕстьОграниченияПоПолучателямСкладам, ЕстьРасписание, ЕстьУсловияПоДК, ЕстьУточненияПоКатегориям, ЕстьУточненияПоНоменклатуре, ЕстьУточненияПоЦеновымГруппам, ЗначениеСкидкиНаценки, Комментарий, Назначение, ОбластьПредоставления, ПорядокОкругления, УдалитьРеквизитДопУпорядочивания, СпособПредоставления, ЭтоПравилоНачисленияБонусов, ВремяПоДнямНедели, НоменклатураГруппыЦеновыеГруппы, УсловияПредоставления, ПолучателиСкидкиКонтрагенты, ПолучателиСкидкиСклады"
"Catalog_АвтоматическиеСкидки_ПолучателиСкидкиСклады","StandardODATA.Catalog_АвтоматическиеСкидки_ПолучателиСкидкиСклады","3","Ref_Key, LineNumber, Получатель_Key"
"Catalog_ВидыЗаказовПокупателей","StandardODATA.Catalog_ВидыЗаказовПокупателей","12","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, DeletionMark, Комментарий, СостояниеДоставлен_Key, СостояниеОтгружен_Key, СостояниеОжидаетОтгрузки_Key, НеИспользоватьДоставку, ПорядокСостояний"
"Catalog_КалендариСотрудников","StandardODATA.Catalog_КалендариСотрудников","21","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, backgroundColor, colorId, foregroundColor, id, key, primary, selected, summary, timeZone, ВладелецКалендаря_Key, Недействителен, Пользователь_Key, СинхронизироватьСGoogle, Доступ"
"Catalog_КалендариСотрудников_Доступ","StandardODATA.Catalog_КалендариСотрудников_Доступ","3","Ref_Key, LineNumber, Сотрудник_Key"
"Catalog_КассыККМ","StandardODATA.Catalog_КассыККМ","25","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Owner_Key, DeletionMark, СтруктурнаяЕдиница_Key, Подразделение_Key, ТипКассы, ВалютаДенежныхСредств_Key, ПодключаемоеОборудование_Key, СчетУчета_Key, ИспользоватьБезПодключенияОборудования, ЭлектронныйЧекSMSПередаютсяПрограммой1С, ЭлектронныйЧекEmailПередаютсяПрограммой1С, СерийныйНомер, ТипОборудования, СоздаватьВыемку, СоздаватьПоступлениеВКассу, КассаДляРозничнойВыручки_Key, МинимальныйОстатокВКассеККМ, ИспользоватьАвторизациюПоОтветственному, ИсточникФИОКассираВЧеке"
