"EntitySet","EntityType","PropertyCount","Properties"
"Catalog_СлужбыДоставки_ДоступныеСпособыОтгрузки","StandardODATA.Catalog_СлужбыДоставки_ДоступныеСпособыОтгрузки","3","Ref_Key, LineNumber, СпособОтгрузки"
"Catalog_СтруктурныеЕдиницы","StandardODATA.Catalog_СтруктурныеЕдиницы","43","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, Parent_Key, DeletionMark, ТипСтруктурнойЕдиницы, ОрдерныйСклад, Организация_Key, МОЛ_Key, ПодписьМОЛ_Key, РозничныйВидЦен_Key, СчетУчетаВРознице_Key, СчетУчетаНаценки_Key, ИсточникПеремещения_Key, ЯчейкаИсточникаПеремещения_Key, ПолучательПеремещения_Key, ЯчейкаПолучателяПеремещения_Key, ПолучательОтходов_Key, ЯчейкаПолучателяОтходов_Key, ИсточникСписанияНаРасходы_Key, ЯчейкаИсточникаСписанияНаРасходы_Key, ПолучательСписанияНаРасходы_Key, ЯчейкаПолучателяСписанияНаРасходы_Key, ИсточникПередачиВЭксплуатацию_Key, ЯчейкаИсточникаПередачиВЭксплуатацию_Key, ПолучательПередачиВЭксплуатацию_Key, ЯчейкаПолучателяПередачиВЭксплуатацию_Key, ИсточникВозвратаИзЭксплуатации_Key, ЯчейкаИсточникаВозвратаИзЭксплуатации_Key, ПолучательВозвратаИзЭксплуатации_Key, PS_СтруктурнаяЕдиницаБУ_Key, ЯчейкаПолучателяВозвратаИзЭксплуатации_Key, УсловияХранения, ГоловнаяОрганизация_Key, КПП, НаименованиеПолное, ЦифровойИндексОбособленногоПодразделения, Недействителен, ДополнительныеРеквизиты, КонтактнаяИнформация"
"Catalog_УдалитьСерверыДокументооборота","StandardODATA.Catalog_УдалитьСерверыДокументооборота","12","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, АдресЭлектроннойПочтыФНС, ДлительностьОжиданияСервера, Сертификат, АдресЭлектроннойПочтыПФР, АдресЭлектроннойПочтыФСГС"
"Catalog_УчетныеЗаписиЭлектроннойПочты","StandardODATA.Catalog_УчетныеЗаписиЭлектроннойПочты","28","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, DeletionMark, АдресЭлектроннойПочты, ВремяОжидания, ИмяПользователя, ИспользоватьДляОтправки, ИспользоватьДляПолучения, ИспользоватьЗащищенноеСоединениеДляВходящейПочты, ИспользоватьЗащищенноеСоединениеДляИсходящейПочты, ОставлятьКопииСообщенийНаСервере, ПериодХраненияСообщенийНаСервере, Пользователь, ПользовательSMTP, ПортСервераВходящейПочты, ПортСервераИсходящейПочты, ПротоколВходящейПочты, СерверВходящейПочты, СерверИсходящейПочты, ТребуетсяВходНаСерверПередОтправкой, ОтправлятьСкрытыеКопииПисемНаЭтотАдрес, ВладелецУчетнойЗаписи_Key, Недействителен, ЧислоПопытокУзнатьИдентификаторОтправленногоПисьма, ПриОтправкеПисемТребуетсяАвторизация"
"Catalog_ШаблоныКалькуляций","StandardODATA.Catalog_ШаблоныКалькуляций","9","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, Code, DeletionMark, Запасы, Расходы"
"Catalog_ШаблоныКалькуляций_Запасы","StandardODATA.Catalog_ШаблоныКалькуляций_Запасы","9","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Спецификация_Key, Количество, ЕдиницаИзмерения, КлючСвязи, ЕдиницаИзмерения_Type"
"ChartOfCharacteristicTypes_ДополнительныеРеквизитыИСведения","StandardODATA.ChartOfCharacteristicTypes_ДополнительныеРеквизитыИСведения","27","Ref_Key, Predefined, PredefinedDataName, DataVersion, Description, DeletionMark, ValueType, Виден, ВладелецДополнительныхЗначений_Key, ВыводитьВВидеГиперссылки, ДополнительныеЗначенияИспользуются, ДополнительныеЗначенияСВесом, Доступен, Заголовок, ЗаголовокФормыВыбораЗначения, ЗаголовокФормыЗначения, ЗаполнятьОбязательно, Имя, Комментарий, МногострочноеПолеВвода, Подсказка, ФорматСвойства, ЭтоДополнительноеСведение, НаборСвойств_Key, ИдентификаторДляФормул, ЗависимостиДополнительныхРеквизитов, Представления"
"Document_АвансовыйОтчет","StandardODATA.Document_АвансовыйОтчет","37","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, ВалютаДокумента_Key, ДокументОснование, Комментарий, Кратность, Курс, НалогообложениеНДС, НДСВключатьВСтоимость, Организация_Key, ПодписьБухгалтера_Key, ПодписьГлавногоБухгалтера_Key, ПодписьРуководителя_Key, Сотрудник_Key, СуммаВключаетНДС, СуммаДокумента, СчетФактураДатаВыставления, СчетФактураДоговорКонтрагента_Key, СчетФактураКонтрагент_Key, УчитыватьВНУ, ХозяйственнаяОперация_Key, НазначениеАванса, КоличествоДокументов, КоличествоЛистов, Проект_Key, PS_ОтражатьВБухгалтерскомУчете, ВыданныеАвансы, Запасы, Расходы, Оплаты, ДополнительныеРеквизиты, ДокументОснование_Type"
"Document_АвансовыйОтчет_Запасы","StandardODATA.Document_АвансовыйОтчет_Запасы","21","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Партия_Key, ЕдиницаИзмерения, Количество, Цена, Сумма, СтавкаНДС_Key, СуммаНДС, Всего, ЗаказПокупателя_Key, СтруктурнаяЕдиница_Key, Ячейка_Key, ДатаВходящегоДокумента, НомерВходящегоДокумента, Содержание, Статья_Key, ТоварыДляПроизводства, ЕдиницаИзмерения_Type"
"Document_Бюджет","StandardODATA.Document_Бюджет","24","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Организация_Key, СценарийПланирования_Key, Комментарий, Автор_Key, ХозяйственнаяОперация_Key, ДатаНачала, ДатаОкончания, ИспользоватьПродвинутыйРежимПросмотра, Проект_Key, Подразделение_Key, Остатки, ПрямыеЗатраты, КосвенныеЗатраты, Поступления, Выбытия, Доходы, Расходы, Операции"
"Document_Бюджет_Остатки","StandardODATA.Document_Бюджет_Остатки","5","Ref_Key, LineNumber, Счет_Key, Сумма, Комментарий"
"Document_Бюджет_Поступления","StandardODATA.Document_Бюджет_Поступления","10","Ref_Key, LineNumber, ДатаПланирования, Статья_Key, Сумма, Счет_Key, КоррСчет_Key, Проект_Key, СтруктурнаяЕдиница_Key, Комментарий"
"Document_ВводНачальныхОстатков","StandardODATA.Document_ВводНачальныхОстатков","31","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Организация_Key, РазделУчета, Комментарий, Автоформирование, Автор_Key, ХозяйственнаяОперация_Key, ВнеоборотныеАктивы, Запасы, ЗапасыВРазрезеГТД, ЗапасыПереданныеВРазрезеГТД, ЗапасыПринятыеВРазрезеГТД, ПрямыеЗатраты, ЗапасыПереданные, ЗапасыПринятые, ДенежныеСредства, РасчетыСПокупателями, РасчетыСПоставщиками, РасчетыПоНалогам, РасчетыСПерсоналом, РасчетыСПодотчетниками, ПрочиеРазделы, РасчетыПоЭквайрингу, СерииНоменклатуры, ЗакупкиДляКУДИР, РасчетыСФондамиПоСтраховымВзносам"
"Document_ВводНачальныхОстатков_ВнеоборотныеАктивы","StandardODATA.Document_ВводНачальныхОстатков_ВнеоборотныеАктивы","12","Ref_Key, LineNumber, ВнеоборотныйАктив_Key, ОбъемПродукцииРаботДляВычисленияАмортизации, НачислятьАмортизацию, СрокИспользованияДляВычисленияАмортизации, ТекущаяВыработкаКоличество, ТекущаяНачисленнаяАмортизация, ТекущееСостояниеВнеоборотногоАктива, СтруктурнаяЕдиница_Key, СчетЗатрат_Key, НаправлениеДеятельности_Key"
"Document_ВводНачальныхОстатков_ДенежныеСредства","StandardODATA.Document_ВводНачальныхОстатков_ДенежныеСредства","7","Ref_Key, LineNumber, БанковскийСчетКасса, ВалютаДенежныхСредств_Key, СуммаВал, Сумма, БанковскийСчетКасса_Type"
"Document_ВводНачальныхОстатков_ЗакупкиДляКУДИР","StandardODATA.Document_ВводНачальныхОстатков_ЗакупкиДляКУДИР","8","Ref_Key, LineNumber, ДатаДокумента, НомерДокумента, Номенклатура_Key, Количество, Сумма, СуммаНДС"
"Document_ВводНачальныхОстатков_Запасы","StandardODATA.Document_ВводНачальныхОстатков_Запасы","15","Ref_Key, LineNumber, СтруктурнаяЕдиница_Key, Ячейка_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, СерииНоменклатуры, ЕдиницаИзмерения, Количество, Цена, Сумма, ЗаказПокупателя_Key, КлючСвязи, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ЗапасыВРазрезеГТД","StandardODATA.Document_ВводНачальныхОстатков_ЗапасыВРазрезеГТД","10","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Партия_Key, Количество, ЕдиницаИзмерения, СтранаПроисхождения_Key, НомерГТД_Key, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ЗапасыПереданные","StandardODATA.Document_ВводНачальныхОстатков_ЗапасыПереданные","15","Ref_Key, LineNumber, ВидОперации, Контрагент_Key, Договор_Key, Заказ, Номенклатура_Key, Характеристика_Key, Партия_Key, ЕдиницаИзмерения, Количество, СуммаРасчетов, Себестоимость, Заказ_Type, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ЗапасыПереданныеВРазрезеГТД","StandardODATA.Document_ВводНачальныхОстатков_ЗапасыПереданныеВРазрезеГТД","11","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Партия_Key, Количество, ЕдиницаИзмерения, СтранаПроисхождения_Key, НомерГТД_Key, ДокументПередачи_Key, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ЗапасыПринятые","StandardODATA.Document_ВводНачальныхОстатков_ЗапасыПринятые","16","Ref_Key, LineNumber, ВидОперации, Контрагент_Key, Договор_Key, Заказ, СтруктурнаяЕдиница_Key, Ячейка_Key, Номенклатура_Key, Характеристика_Key, Партия_Key, ЕдиницаИзмерения, Количество, СуммаРасчетов, Заказ_Type, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ЗапасыПринятыеВРазрезеГТД","StandardODATA.Document_ВводНачальныхОстатков_ЗапасыПринятыеВРазрезеГТД","11","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Партия_Key, Количество, ЕдиницаИзмерения, СтранаПроисхождения_Key, НомерГТД_Key, ДокументПриема_Key, ЕдиницаИзмерения_Type"
"Document_ВводНачальныхОстатков_ПрочиеРазделы","StandardODATA.Document_ВводНачальныхОстатков_ПрочиеРазделы","8","Ref_Key, LineNumber, ВидДвижения, Счет_Key, Сумма, Валюта_Key, СуммаВал, Содержание"
"Document_ВводНачальныхОстатков_ПрямыеЗатраты","StandardODATA.Document_ВводНачальныхОстатков_ПрямыеЗатраты","6","Ref_Key, LineNumber, СтруктурнаяЕдиница_Key, СчетЗатрат_Key, ЗаказПокупателя_Key, Сумма"
"Document_ВводНачальныхОстатков_РасчетыПоНалогам","StandardODATA.Document_ВводНачальныхОстатков_РасчетыПоНалогам","4","Ref_Key, LineNumber, ВидНалога_Key, Сумма"
"Document_ВводНачальныхОстатков_РасчетыПоЭквайрингу","StandardODATA.Document_ВводНачальныхОстатков_РасчетыПоЭквайрингу","7","Ref_Key, LineNumber, ЭквайринговыйТерминал_Key, Сумма, Комиссия, СуммаВал, КомиссияВал"
"Document_ВводНачальныхОстатков_РасчетыСПерсоналом","StandardODATA.Document_ВводНачальныхОстатков_РасчетыСПерсоналом","8","Ref_Key, LineNumber, СтруктурнаяЕдиница_Key, Сотрудник_Key, Валюта_Key, СуммаВал, Сумма, ПериодРегистрации"
"Document_ВводНачальныхОстатков_РасчетыСПодотчетниками","StandardODATA.Document_ВводНачальныхОстатков_РасчетыСПодотчетниками","9","Ref_Key, LineNumber, Сотрудник_Key, Валюта_Key, Документ, СуммаВал, Сумма, Перерасход, Документ_Type"
"Document_ВводНачальныхОстатков_РасчетыСПокупателями","StandardODATA.Document_ВводНачальныхОстатков_РасчетыСПокупателями","12","Ref_Key, LineNumber, Контрагент_Key, Договор_Key, ПризнакАванса, ЗаказПокупателя_Key, Документ, СуммаВал, Сумма, СуммаРег, СчетНаОплату_Key, Документ_Type"
"Document_ВводНачальныхОстатков_РасчетыСПоставщиками","StandardODATA.Document_ВводНачальныхОстатков_РасчетыСПоставщиками","12","Ref_Key, LineNumber, Контрагент_Key, Договор_Key, ПризнакАванса, ЗаказПоставщику_Key, Документ, СуммаВал, Сумма, СуммаРег, СчетНаОплату_Key, Документ_Type"
"Document_ВводНачальныхОстатков_РасчетыСФондамиПоСтраховымВзносам","StandardODATA.Document_ВводНачальныхОстатков_РасчетыСФондамиПоСтраховымВзносам","6","Ref_Key, LineNumber, ЭтоПереплата, Сотрудник_Key, ВидОбязательногоСтрахованияСотрудников, Сумма"
"Document_ВводНачальныхОстатков_СерииНоменклатуры","StandardODATA.Document_ВводНачальныхОстатков_СерииНоменклатуры","5","Ref_Key, LineNumber, Серия_Key, КлючСвязи, Количество"
"Document_ВнесениеНаличных","StandardODATA.Document_ВнесениеНаличных","15","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, КассаККМ_Key, Комментарий, Организация_Key, СуммаДокумента, ВалютаДенежныхСредств_Key, ДокументОснование, ОтчетОРозничныхПродажах_Key, ДокументОснование_Type"
"Document_ВыемкаНаличных","StandardODATA.Document_ВыемкаНаличных","14","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, КассаККМ_Key, Комментарий, Организация_Key, СуммаДокумента, ВалютаДенежныхСредств_Key, ОтчетОРозничныхПродажах_Key, ДоговорПлатежногоАгента_Key"
"Document_Доверенность","StandardODATA.Document_Доверенность","22","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, БанковскийСчет_Key, ДатаДействия, Договор_Key, ДокументОснование, Комментарий, Контрагент_Key, НаПолучениеОт, Организация_Key, ПоДокументу, ПодписьГлавногоБухгалтера_Key, ПодписьРуководителя_Key, ФизЛицо_Key, ХозяйственнаяОперация_Key, Запасы, ДокументОснование_Type"
"Document_Доверенность_Запасы","StandardODATA.Document_Доверенность_Запасы","5","Ref_Key, LineNumber, НаименованиеТовара, ЕдиницаИзмерения, Количество"
"Document_ДополнительныеРасходы","StandardODATA.Document_ДополнительныеРасходы","33","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, ВалютаДокумента_Key, ВидЦенКонтрагента_Key, ДатаВходящегоДокумента, Договор_Key, ЗаказПоставщику_Key, Комментарий, Контрагент_Key, Кратность, Курс, НалогообложениеНДС, НДСВключатьВСтоимость, НомерВходящегоДокумента, Организация_Key, Ответственный_Key, Подразделение_Key, СпособЗачетаПредоплаты, СтруктурнаяЕдиница_Key, СуммаВключаетНДС, СуммаДокумента, ХозяйственнаяОперация_Key, РегистрироватьЦеныПоставщика, ПоложениеСклада, PS_ОтражатьВБухгалтерскомУчете, Запасы, Расходы, Предоплата"
"Document_ДополнительныеРасходы_Запасы","StandardODATA.Document_ДополнительныеРасходы_Запасы","20","Ref_Key, LineNumber, ДокументПоступления, Номенклатура_Key, Характеристика_Key, Партия_Key, Количество, ЕдиницаИзмерения, Цена, Сумма, СтавкаНДС_Key, СуммаНДС, Всего, ЗаказПокупателя_Key, СуммаРасходов, Коэффициент, PS_СуммаРасходовНДС, СтруктурнаяЕдиница_Key, ДокументПоступления_Type, ЕдиницаИзмерения_Type"
"Document_ЗаказНаПроизводство","StandardODATA.Document_ЗаказНаПроизводство","46","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, ВариантЗавершения, ВидОперации, ДокументОснование, ЗаказНаПроизводствоОснование_Key, ЗаказПокупателя_Key, Заметки, Комментарий, Организация_Key, Ответственный_Key, СостояниеЗаказа_Key, СписокНоменклатуры, СписокРесурсов, Старт, СтруктурнаяЕдиница_Key, СтруктурнаяЕдиницаРезерв_Key, УдалитьЗакрыт, Финиш, ХозяйственнаяОперация_Key, ПоложениеСклада, ПоложениеЗаказаПокупателя, РучноеРаспределение, Исполнитель, ПоложениеИсполнителя, ИсполнительПредставление, СтруктурнаяЕдиницаОпераций_Key, ПоложениеСтруктурнойЕдиницыОпераций, СтруктурнаяЕдиницаОперацийПредставление, ЗапланированыОперации, УчетПотребностиПоЗаказамНаПроизводство, Продукция, Запасы, РесурсыПредприятия, ДополнительныеРеквизиты, РаспределениеЗапасов, Операции, СоставБригады, РеквизитыПараметрическихСпецификаций, ДокументОснование_Type, Исполнитель_Type"
"Document_ЗаказНаПроизводство_Запасы","StandardODATA.Document_ЗаказНаПроизводство_Запасы","15","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Количество, ЕдиницаИзмерения, Спецификация_Key, Резерв, Партия_Key, СтруктурнаяЕдиница_Key, ЗаказПокупателя_Key, КлючСвязи, ДоляСтоимости, Этап_Key, ЕдиницаИзмерения_Type"
"Document_ЗаказНаПроизводство_Продукция","StandardODATA.Document_ЗаказНаПроизводство_Продукция","15","Ref_Key, LineNumber, Номенклатура_Key, ТипНоменклатуры, Характеристика_Key, Количество, Резерв, ЕдиницаИзмерения, Спецификация_Key, Партия_Key, СтруктурнаяЕдиница_Key, ЗаказПокупателя_Key, КлючСвязи, ПодразделениеЗавершающегоЭтапа_Key, ЕдиницаИзмерения_Type"
"Document_ЗаказНаПроизводство_РаспределениеЗапасов","StandardODATA.Document_ЗаказНаПроизводство_РаспределениеЗапасов","14","Ref_Key, LineNumber, Количество, КлючСвязиПродукция, УдалитьКлючСвязиЗапасы, Номенклатура_Key, Характеристика_Key, ЕдиницаИзмерения, Спецификация_Key, Партия_Key, СтруктурнаяЕдиница_Key, ЗаказПокупателя_Key, Этап_Key, ЕдиницаИзмерения_Type"
"Document_ЗаказПокупателя","StandardODATA.Document_ЗаказПокупателя","152","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, АдресДоставки, АдресДоставкиЗначение, АдресДоставкиЗначенияПолей, АдресЭП, БанковскийСчет_Key, БанковскийСчетКонтрагента_Key, ВалютаДокумента_Key, ВариантЗавершения, Вес, ВидЗаказа, ВидимостьИндикатораТребуетсяРасчет, ВидОперации, ВидРабот_Key, ВидСкидкиНаценки_Key, ВидЦен_Key, ВидЭлектронногоДокумента, ВремяДоставкиПо, ВремяДоставкиС, Высота, Грузоотправитель_Key, Грузополучатель_Key, ДатаВходящегоДокумента, ДатаИзменения, ДатаОтгрузки, ДисконтнаяКарта_Key, Длина, ДоверенностьВыдана, ДоверенностьДата, ДоверенностьЛицо_Key, ДоверенностьНомер, Договор_Key, ДокументОснование, ДополнительнаяИнформацияПоДоставке, Заметки, ЗапаснойТелефон, ЗапланироватьОплату, ЗонаТариф_Key, ИдентификаторНаправленияДоставки, ИдентификаторПлатежа, ИспользоватьЗарплатаИсполнителей, ИспользоватьМатериалы, ИспользоватьМатериалыЗаказчика, ИспользоватьТовары, ИсточникПривлечения_Key, КалькуляцияРассчитана, Касса_Key, КассаККМ_Key, КоличествоВариантовКП, Комментарий, КомментарийКалькуляции, КонтактноеЛицо, КонтактноеЛицоПодписант_Key, КонтактныйТелефон, Контрагент_Key, Кратность, Курс, Курьер_Key, НалогообложениеНДС, НДСВключатьВСтоимость, НоменклатураДоставки_Key, НомерВходящегоДокумента, НомерСменыККМ, НомерЧекаККМ, Объем, ОбъявленнаяЦенность, ОжидаемаяДатаВручения, ОжидаетсяВыборВариантаКП, Организация_Key, ОснованиеПечати, ОснованиеПечатиСсылка, ОсновнойВариантКП, Ответственный_Key, ПодписьГлавногоБухгалтера_Key, ПодписьКассира_Key, ПодписьКладовщика_Key, ПодписьРуководителя_Key, ПоложениеВидаРабот, ПоложениеДатыОтгрузки, ПоложениеСклада, ПочтаПолучателя, ПричинаОтмены_Key, Проект_Key, ПроцентСкидкиПоДисконтнойКарте, ПунктВыдачиЗаказа_Key, СкидкиРассчитаны, СлужбаДоставки_Key, Событие_Key, СостояниеЗаказа, СпециальныйНалоговыйРежим, СписокНоменклатуры, СписокРесурсов, СпособДоставки, СпособЗачетаПредоплаты, СпособОтгрузки, СпособРасчетаСебестоимостиКалькуляции, СтавкаНДСДоставки_Key, Старт, СтоимостьДоставки, СтруктурнаяЕдиницаПродажи_Key, СтруктурнаяЕдиницаРезерв_Key, СуммаВключаетНДС, СуммаДокумента, СуммаНДСДоставки, Телефон, ТипДенежныхСредств, ТрекНомер, УдалитьЗакрыт, УдалитьИспользоватьФаксимиле, УсловияГарантийногоТалона_Key, УсловияКоммерческогоПредложения_Key, УсловияСчетаЗаказа_Key, УчитыватьВНУ, Финиш, ХозяйственнаяОперация_Key, ШаблонКалькуляции_Key, Ширина, Ячейка_Key, РасчетКалькуляцииПоДаннымТЧ, СебестоимостьДоставки, СсылкаДляОплаты, СозданИзКабинетаКлиента, СервисДоставки, Запасы, МатериалыЗаказчика, ПлатежныйКалендарь, Работы, Исполнители, Материалы, РесурсыПредприятия, Предоплата, ДополнительныеРеквизиты, ИнформацияПоКонтрагенту, СкидкиНаценки, СерииНоменклатуры, СерииНоменклатурыМатериалы, Калькуляция, ПараметрыДоставки, ВидыЦенКалькуляции, ДобавленныеНаборы, РеквизитыПараметрическихСпецификаций, ВидЗаказа_Type, ДокументОснование_Type, ОснованиеПечатиСсылка_Type, СостояниеЗаказа_Type, СпособРасчетаСебестоимостиКалькуляции_Type"
"Document_ЗаказПокупателя_Запасы","StandardODATA.Document_ЗаказПокупателя_Запасы","38","Ref_Key, LineNumber, ТипНоменклатурыЗапас, Номенклатура, Характеристика_Key, СерииНоменклатуры, Резерв, РезервОтгрузка, ЕдиницаИзмерения, Цена, ПроцентСкидкиНаценки, СуммаСкидкиНаценки, Сумма, СтавкаНДС_Key, СуммаНДС, Всего, ДатаОтгрузки, Спецификация_Key, Содержание, ПроцентАвтоматическойСкидки, СуммаАвтоматическойСкидки, Количество, КлючСвязи, СтранаПроисхождения_Key, НомерГТД_Key, Партия_Key, Вес, Объем, НомерВариантаКП, ЭтоРазделитель, НоменклатураНабора_Key, ХарактеристикаНабора_Key, ДоляСтоимости, СтруктурнаяЕдиницаРезерв_Key, Ячейка_Key, КоличествоСобрано, Номенклатура_Type, ЕдиницаИзмерения_Type"
"Document_ЗаказПокупателя_Материалы","StandardODATA.Document_ЗаказПокупателя_Материалы","17","Ref_Key, LineNumber, КлючСвязи, Номенклатура_Key, Характеристика_Key, Партия_Key, СерииНоменклатуры, Количество, Резерв, РезервОтгрузка, ЕдиницаИзмерения, СтранаПроисхождения_Key, НомерГТД_Key, КлючСвязиСерииНоменклатуры, СтруктурнаяЕдиницаРезерв_Key, Ячейка_Key, ЕдиницаИзмерения_Type"
"Document_ЗаказПокупателя_МатериалыЗаказчика","StandardODATA.Document_ЗаказПокупателя_МатериалыЗаказчика","8","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Количество, ЕдиницаИзмерения, ДатаПоступления, ЕдиницаИзмерения_Type"
"Document_ЗаказПоставщику","StandardODATA.Document_ЗаказПоставщику","47","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, БанковскийСчет_Key, ВалютаДокумента_Key, ВариантЗавершения, ВидОперации, ВидЦенКонтрагента_Key, ДатаВходящегоДокумента, ДатаПоступления, Договор_Key, ЕстьКиЗГИСМ, ЗаказПокупателя_Key, Заметки, ЗапланироватьОплату, Касса_Key, Комментарий, Контрагент_Key, Кратность, Курс, НалогообложениеНДС, НДСВключатьВСтоимость, НомерВходящегоДокумента, Организация_Key, Ответственный_Key, ПоложениеДатыПоступления, Событие_Key, СостояниеЗаказа_Key, СтруктурнаяЕдиница_Key, СтруктурнаяЕдиницаРезерв_Key, СуммаВключаетНДС, СуммаДокумента, ТипДенежныхСредств, УдалитьЗакрыт, ХозяйственнаяОперация_Key, РезервироватьДенежныеСредства, ПоложениеЗаказаПокупателя, ДокументОснование, Запасы, Материалы, ПлатежныйКалендарь, ДополнительныеРеквизиты, ДокументОснование_Type"
"Document_ЗаказПоставщику_Запасы","StandardODATA.Document_ЗаказПоставщику_Запасы","18","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Количество, ЕдиницаИзмерения, Цена, ПроцентСкидкиНаценки, СуммаСкидкиНаценки, Сумма, СтавкаНДС_Key, СуммаНДС, ДатаПоступления, Всего, Содержание, Спецификация_Key, ЗаказПокупателя_Key, ЕдиницаИзмерения_Type"
"Document_ЗаказПоставщику_Материалы","StandardODATA.Document_ЗаказПоставщику_Материалы","11","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Количество, Резерв, ЕдиницаИзмерения, ДатаОтгрузки, Спецификация_Key, ЗаказПокупателя_Key, ЕдиницаИзмерения_Type"
"Document_ИнвентаризацияЗапасов","StandardODATA.Document_ИнвентаризацияЗапасов","27","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, ВидЦенностей, ДатаОкончания, ДокументОснованиеДата, ДокументОснованиеНомер, Комиссия_Key, Комментарий, НастройкиОтборов_Base64Data, Организация_Key, ПодписьМОЛ1_Key, ПодписьМОЛ2_Key, ПодписьПроверяющего_Key, СтруктурнаяЕдиница_Key, ФормаСобственностиЦенностей, ХозяйственнаяОперация_Key, Ячейка_Key, PS_ОтражатьВБухгалтерскомУчете, Запасы, СерииНоменклатуры, НастройкиОтборов_Type, НастройкиОтборов"
"Document_ИнвентаризацияЗапасов_Запасы","StandardODATA.Document_ИнвентаризацияЗапасов_Запасы","15","Ref_Key, LineNumber, Номенклатура_Key, Характеристика_Key, Партия_Key, СерииНоменклатуры, Отклонение, Количество, КоличествоУчет, ЕдиницаИзмерения, Цена, Сумма, СуммаУчет, КлючСвязи, ЕдиницаИзмерения_Type"
"Document_ИнвентаризацияЗапасов_СерииНоменклатуры","StandardODATA.Document_ИнвентаризацияЗапасов_СерииНоменклатуры","5","Ref_Key, LineNumber, Серия_Key, КлючСвязи, Количество"
"Document_КассоваяСмена","StandardODATA.Document_КассоваяСмена","26","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, ДатаПервогоНепереданногоФД, ДатаСменыККТ, КассаККМ_Key, КоличествоНепереданныхФД, КоличествоФД, КоличествоЧеков, Комментарий, НачалоКассовойСмены, НеобходимаСтрочнаяЗаменаФН, НомерСменыККТ, ОкончаниеКассовойСмены, Организация_Key, ПамятьФНПереполнена, ПревышеноВремяОжиданияОтветаОФД, РесурсФНИсчерпан, Статус, ФДОЗакрытииСмены_Base64Data, ФискальноеУстройство_Key, ФДОЗакрытииСмены_Type, ФДОЗакрытииСмены"
"Document_КорректировкаПоступления","StandardODATA.Document_КорректировкаПоступления","50","Ref_Key, DataVersion, Number, Date, DeletionMark, Posted, Автор_Key, ВалютаДокумента_Key, ВидОперации, ВидЦенКонтрагента_Key, ВключатьРасходыВСебестоимость, ДатаВходящегоДокумента, ДатаИсправления, ДатаИсправленияИсходногоДокумента, ДатаИсходногоДокумента, ДисконтнаяКарта_Key, Договор_Key, ДокументОснование, Заказ, ИсправляемыйДокументПоступления, Комментарий, Контрагент_Key, Кратность, Курс, НалогообложениеНДС, НДСВключатьВСтоимость, НомерВходящегоДокумента, НомерИсправления, НомерИсправленияИсходногоДокумента, НомерИсходногоДокумента, Организация_Key, Ответственный_Key, ОтражатьВУчете, Подразделение_Key, РегистрироватьЦеныПоставщика, СтруктурнаяЕдиница_Key, СуммаВключаетНДС, СуммаДокумента, ХозяйственнаяОперация_Key, ЧекККМ_Key, Ячейка_Key, Проект_Key, Запасы, Расходы, Предоплата, ДополнительныеРеквизиты, СведенияПрослеживаемости, ДокументОснование_Type, Заказ_Type, ИсправляемыйДокументПоступления_Type"
"Document_КорректировкаПоступления_ДополнительныеРеквизиты","StandardODATA.Document_КорректировкаПоступления_ДополнительныеРеквизиты","6","Ref_Key, LineNumber, Свойство_Key, Значение, ТекстоваяСтрока, Значение_Type"
